variant,binary,version,dataset,target_length,run_index,seed,islands,generations_arg,mutation_rate,elite_count,reported_length,cuda_elapsed_ms,generations_completed,target_reached,status,notes
cuda_ga_gpu_pop,./build/CUDA-GA-GPU-Pop,GA-GPU-POP-VerboseComments,data/berlin52.tsp,9400,1,42,128,1000,0.05,2,9412,190.708,NA,NA,ok,
cuda_ga_gpu_pop_bankconflict,./build/CUDA-GA-GPU-Pop-bankconflict,GPU-Pop Bank-Conflict Variant,data/berlin52.tsp,9400,1,42,128,1000,0.05,2,9310,90.2315,1047,yes,ok,
cuda_ga_gpu_pop_bitset,./build/CUDA-GA-GPU-Pop-bitset,GPU-Pop Bitset Variant,data/berlin52.tsp,9400,1,42,128,1000,0.05,2,9021,45925.6,685762,yes,ok,
cuda_ga_gpu_pop_global_dist,./build/GA-GPU-POP-GlobalDist,GA-GPU-POP-GlobalDist,data/berlin52.tsp,9400,1,42,128,1000,0.05,2,9310,104.785,1011,yes,ok,
cuda_ga_gpu_pop,./build/CUDA-GA-GPU-Pop,GA-GPU-POP-VerboseComments,data/berlin52.tsp,9400,2,43,128,1000,0.05,2,9459,166.304,NA,NA,ok,
cuda_ga_gpu_pop_bankconflict,./build/CUDA-GA-GPU-Pop-bankconflict,GPU-Pop Bank-Conflict Variant,data/berlin52.tsp,9400,2,43,128,1000,0.05,2,9396,112.479,1446,yes,ok,
cuda_ga_gpu_pop_bitset,./build/CUDA-GA-GPU-Pop-bitset,GPU-Pop Bitset Variant,data/berlin52.tsp,9400,2,43,128,1000,0.05,2,9263,31148.5,466152,yes,ok,
cuda_ga_gpu_pop_global_dist,./build/GA-GPU-POP-GlobalDist,GA-GPU-POP-GlobalDist,data/berlin52.tsp,9400,2,43,128,1000,0.05,2,9396,161.095,1556,yes,ok,
cuda_ga_gpu_pop,./build/CUDA-GA-GPU-Pop,GA-GPU-POP-VerboseComments,data/berlin52.tsp,9400,3,44,128,1000,0.05,2,9481,166.22,NA,NA,ok,
cuda_ga_gpu_pop_bankconflict,./build/CUDA-GA-GPU-Pop-bankconflict,GPU-Pop Bank-Conflict Variant,data/berlin52.tsp,9400,3,44,128,1000,0.05,2,9273,89.233,1147,yes,ok,
cuda_ga_gpu_pop_bitset,./build/CUDA-GA-GPU-Pop-bitset,GPU-Pop Bitset Variant,data/berlin52.tsp,9400,3,44,128,1000,0.05,2,9144,61591.7,923772,yes,ok,
cuda_ga_gpu_pop_global_dist,./build/GA-GPU-POP-GlobalDist,GA-GPU-POP-GlobalDist,data/berlin52.tsp,9400,3,44,128,1000,0.05,2,9273,117.333,1132,yes,ok,
cuda_ga_gpu_pop,./build/CUDA-GA-GPU-Pop,GA-GPU-POP-VerboseComments,data/berlin52.tsp,9400,4,45,128,1000,0.05,2,9631,167.413,NA,NA,ok,
cuda_ga_gpu_pop_bankconflict,./build/CUDA-GA-GPU-Pop-bankconflict,GPU-Pop Bank-Conflict Variant,data/berlin52.tsp,9400,4,45,128,1000,0.05,2,9361,105.06,1345,yes,ok,
cuda_ga_gpu_pop_bitset,./build/CUDA-GA-GPU-Pop-bitset,GPU-Pop Bitset Variant,data/berlin52.tsp,9400,4,45,128,1000,0.05,2,9134,31013.8,464151,yes,ok,
cuda_ga_gpu_pop_global_dist,./build/GA-GPU-POP-GlobalDist,GA-GPU-POP-GlobalDist,data/berlin52.tsp,9400,4,45,128,1000,0.05,2,9361,139.269,1344,yes,ok,
cuda_ga_gpu_pop,./build/CUDA-GA-GPU-Pop,GA-GPU-POP-VerboseComments,data/berlin52.tsp,9400,5,46,128,1000,0.05,2,9519,166.134,NA,NA,ok,
