implementation,dataset,dataset_name,edge_weight_type,dimension,seed,repeat_id,command,output_txt,best_tour_csv,reported_best_length,recomputed_best_length,length_abs_error,length_match,runtime_sec,exit_code,route_present,valid_tour,missing_city_count,duplicate_city_count,invalid_indices,wrong_tour_length,normalized_tour
,sequential/tests/fixtures/smoke_20.tsp,smoke_20,EUC_2D,20,,,,C:/Users/ual-laptop/Documents/Traveling-salesman-GPU/results/cuda_ga_b1_stride_smoke_20_5526437.txt,,73.0,,,,0.17,0,False,,,,,,
,sequential/tests/fixtures/smoke_20.tsp,smoke_20,EUC_2D,20,,,,C:/Users/ual-laptop/Documents/Traveling-salesman-GPU/results/cuda_ga_b2_bitmask_smoke_20_5526437.txt,,73.0,,,,0.17,0,False,,,,,,
,sequential/tests/fixtures/smoke_20.tsp,smoke_20,EUC_2D,20,,,,C:/Users/ual-laptop/Documents/Traveling-salesman-GPU/results/cuda_ga_b3_reduce_smoke_20_5526437.txt,,73.0,,,,0.13,0,False,,,,,,
,sequential/tests/fixtures/smoke_20.tsp,smoke_20,EUC_2D,20,,,,C:/Users/ual-laptop/Documents/Traveling-salesman-GPU/results/cuda_ga_b3_shuffle_smoke_20_5526437.txt,,73.0,,,,0.12,0,False,,,,,,
,sequential/tests/fixtures/smoke_20.tsp,smoke_20,EUC_2D,20,,,,C:/Users/ual-laptop/Documents/Traveling-salesman-GPU/results/cuda_ga_b4_global_smoke_20_5526437.txt,,73.0,,,,0.12,0,False,,,,,,
,sequential/tests/fixtures/smoke_20.tsp,smoke_20,EUC_2D,20,,,,C:/Users/ual-laptop/Documents/Traveling-salesman-GPU/results/cuda_ga_b4_smem_smoke_20_5526437.txt,,73.0,,,,0.12,0,False,,,,,,
,sequential/tests/fixtures/smoke_20.tsp,smoke_20,EUC_2D,20,,,,C:/Users/ual-laptop/Documents/Traveling-salesman-GPU/results/cuda_ga_gpu_pop_bankconflict_smoke_20_5526437.txt,,73.0,73.0,0.0,True,0.17,0,True,True,0,0,,False,0 2 1 16 17 3 7 12 11 13 14 6 5 19 4 10 8 9 18 15
,sequential/tests/fixtures/smoke_20.tsp,smoke_20,EUC_2D,20,,,,C:/Users/ual-laptop/Documents/Traveling-salesman-GPU/results/cuda_ga_gpu_pop_bitset_smoke_20_5526437.txt,,73.0,73.0,0.0,True,0.16,0,True,True,0,0,,False,0 2 1 16 17 3 7 12 11 13 14 6 5 19 4 10 8 9 18 15
,sequential/tests/fixtures/smoke_20.tsp,smoke_20,EUC_2D,20,,,,C:/Users/ual-laptop/Documents/Traveling-salesman-GPU/results/cuda_ga_gpu_pop_smoke_20_5526437.txt,,73.0,73.0,0.0,True,0.17,0,True,True,0,0,,False,0 2 1 16 17 3 7 12 11 13 14 6 5 19 4 10 8 9 18 15
,sequential/tests/fixtures/smoke_20.tsp,smoke_20,EUC_2D,20,,,,C:/Users/ual-laptop/Documents/Traveling-salesman-GPU/results/cuda_ga_smoke_20_5526437.txt,,75.0,75.0,0.0,True,0.35,0,True,True,0,0,,False,14 13 5 19 4 10 8 9 18 6 11 12 15 0 3 17 16 1 2 7
,sequential/tests/fixtures/smoke_20.tsp,smoke_20,EUC_2D,20,,,,C:/Users/ual-laptop/Documents/Traveling-salesman-GPU/results/gpu_naive_smoke_20_5526437.txt,,80.0,80.0,0.0,True,0.18,0,True,True,0,0,,False,8 9 18 6 5 19 4 14 13 11 12 15 0 7 3 17 16 1 2 10
