variant,version,dataset,runs,ok_runs,target_hits,best_reported_length,best_cuda_elapsed_ms,best_tour_path,mean_reported_length,stddev_reported_length,mean_cuda_elapsed_ms,stddev_cuda_elapsed_ms,mean_generations_completed
cuda_ga_gpu_pop_bitset,GPU-Pop Bitset Variant,data/berlin52.tsp,20,20,0,8929,283.906,48 43 28 29 1 6 41 16 17 2 40 8 9 7 18 44 31 33 35 34 38 39 4 14 42 32 50 10 25 46 13 51 12 26 27 11 3 24 5 23 37 36 47 45 15 49 19 22 20 30 21 0 48,9125.4,120.514,283.998,0.215688,2000
cuda_ga_b3_reduce,cuda_ga_b3_reduce,data/berlin52.tsp,20,20,0,8777,247.04,25 46 12 13 51 10 50 3 36 43 34 35 48 31 0 21 17 20 41 1 6 16 2 30 22 29 19 49 28 15 45 42 32 9 8 7 40 18 44 33 38 39 47 23 37 4 14 5 24 11 27 26 25,9234.55,195.84,247.162,0.773716,NA
cuda_ga_gpu_pop,GPU-Pop Control,data/berlin52.tsp,20,20,0,8929,333.65,48 43 28 29 1 6 41 16 17 2 40 8 9 7 18 44 31 33 35 34 38 39 4 14 42 32 50 10 25 46 13 51 12 26 27 11 3 24 5 23 37 36 47 45 15 49 19 22 20 30 21 0 48,9125.4,120.514,334.779,3.68133,2000
gpu_naive,gpu_naive,data/berlin52.tsp,20,20,0,8181,0.133458,39 37 36 38 35 34 33 43 45 47 23 4 14 5 3 24 11 27 26 25 46 12 13 51 10 50 32 42 9 8 7 40 18 44 31 48 0 21 30 17 2 16 20 22 19 49 15 28 29 41 6 1 39,8181,0,0.132069,0.00572895,NA
cuda_ga_gpu_pop_global_dist,GA-GPU-POP-GlobalDist,data/berlin52.tsp,20,20,0,8929,279.873,48 43 28 29 1 6 41 16 17 2 40 8 9 7 18 44 31 33 35 34 38 39 4 14 42 32 50 10 25 46 13 51 12 26 27 11 3 24 5 23 37 36 47 45 15 49 19 22 20 30 21 0 48,9125.4,120.514,279.633,0.244034,2000
cuda_ga_gpu_pop_bankconflict,GPU-Pop Bank-Conflict Variant,data/berlin52.tsp,20,20,0,8929,329.059,48 43 28 29 1 6 41 16 17 2 40 8 9 7 18 44 31 33 35 34 38 39 4 14 42 32 50 10 25 46 13 51 12 26 27 11 3 24 5 23 37 36 47 45 15 49 19 22 20 30 21 0 48,9125.4,120.514,330.536,1.09669,2000
cuda_ga_c5_bigpop,cuda_ga_c5_bigpop,data/berlin52.tsp,20,20,0,7542,7586.72,37 47 23 4 14 5 3 24 11 27 26 25 46 12 13 51 10 50 32 42 9 8 7 40 18 44 31 48 0 21 30 17 2 16 20 41 6 1 29 22 19 49 28 15 45 43 33 34 35 38 39 36 37,7542,0,7521.45,21.2939,NA
cuda_ga_c4_global,cuda_ga_c4_global,data/berlin52.tsp,20,20,0,7909,249.254,35 34 43 45 47 23 4 14 5 3 24 11 27 26 25 46 12 13 51 10 50 32 42 9 8 7 40 18 44 31 48 0 21 30 22 19 49 15 28 29 1 6 41 20 16 2 17 33 36 37 39 38 35,8079.4,112.122,248.357,0.746895,NA
cuda_ga_b5_bigpop,cuda_ga_b5_bigpop,data/berlin52.tsp,20,20,0,7542,7519.08,4 14 5 3 24 11 27 26 25 46 12 13 51 10 50 32 42 9 8 7 40 18 44 31 48 0 21 30 17 2 16 20 41 6 1 29 22 19 49 28 15 45 43 33 34 35 38 39 36 37 47 23 4,7590.1,66.7288,7513.55,25.3839,NA
cuda_ga_b4_global,cuda_ga_b4_global,data/berlin52.tsp,20,20,0,8777,247.126,25 46 12 13 51 10 50 3 36 43 34 35 48 31 0 21 17 20 41 1 6 16 2 30 22 29 19 49 28 15 45 42 32 9 8 7 40 18 44 33 38 39 47 23 37 4 14 5 24 11 27 26 25,9234.55,195.84,247.04,0.692264,NA
cuda_ga_b3_shuffle,GPU-Pop B1+B2+B3-shuffle,data/berlin52.tsp,20,20,0,8777,246.847,25 46 12 13 51 10 50 3 36 43 34 35 48 31 0 21 17 20 41 1 6 16 2 30 22 29 19 49 28 15 45 42 32 9 8 7 40 18 44 33 38 39 47 23 37 4 14 5 24 11 27 26 25,9234.55,195.84,247.297,0.888541,NA
cuda_ga_gpu_pop_parallel_sort,GA-GPU-POP-ParallelSort,data/berlin52.tsp,20,20,0,8836,267.698,32 42 31 48 35 38 39 37 47 36 15 28 49 19 29 22 0 34 33 43 45 27 26 25 46 12 13 51 10 50 11 24 3 5 14 4 23 21 17 30 20 41 1 6 16 2 18 44 40 7 8 9 32,9089.1,126.029,264.198,1.43638,NA
