variant,binary,version,dataset,run_index,seed,population,islands,generations,mutation_rate,elite_count,reported_length,cuda_elapsed_ms,generations_completed,target_reached,best_tour_path,status,notes
gpu_naive,build/GPU-Naive,gpu_naive,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,NA,NA,NA,NA,80,0.131213,NA,NA,8 9 18 6 5 19 4 14 13 11 12 15 0 7 3 17 16 1 2 10 8,ok,
cuda_ga,build/CUDA-GA,cuda_ga,sequential/tests/fixtures/smoke_20.tsp,1,100,512,NA,2000,0.03,4,75,566.524,NA,NA,13 11 12 15 0 7 3 17 16 1 2 9 18 6 5 19 8 10 4 14 13,ok,
cuda_ga_no_greedy,build/CUDA-GA-no-greedy,cuda_ga_no_greedy,sequential/tests/fixtures/smoke_20.tsp,1,100,512,NA,2000,0.03,4,78,568.549,NA,NA,9 18 13 14 4 10 8 19 5 6 11 12 7 2 1 16 17 3 0 15 9,ok,
cuda_ga_gpu_pop,build/CUDA-GA-GPU-Pop,GPU-Pop Control,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,134.163,2000,no,18 13 11 12 15 0 2 1 16 3 17 7 14 6 5 19 4 10 8 9 18,ok,
cuda_ga_gpu_pop_bankconflict,build/CUDA-GA-GPU-Pop-bankconflict,GPU-Pop Bank-Conflict Variant,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,120.906,2000,no,18 13 11 12 15 0 2 1 16 3 17 7 14 6 5 19 4 10 8 9 18,ok,
cuda_ga_gpu_pop_bitset,build/CUDA-GA-GPU-Pop-bitset,GPU-Pop Bitset Variant,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,115.342,2000,no,18 13 11 12 15 0 2 1 16 3 17 7 14 6 5 19 4 10 8 9 18,ok,
cuda_ga_gpu_pop_parallel_sort,build/GA-GPU-POP-ParallelSort,GA-GPU-POP-ParallelSort,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,126.85,NA,NA,18 13 11 12 15 0 2 1 16 3 17 7 14 6 5 19 4 10 8 9 18,ok,
cuda_ga_gpu_pop_aos,build/GA-GPU-POP-AoS,GA-GPU-POP-AoS,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,626.322,NA,NA,18 13 11 12 15 0 2 1 16 3 17 7 14 6 5 19 4 10 8 9 18,ok,
cuda_ga_gpu_pop_global_dist,build/GA-GPU-POP-GlobalDist,GA-GPU-POP-GlobalDist,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,149.426,2000,no,18 13 11 12 15 0 2 1 16 3 17 7 14 6 5 19 4 10 8 9 18,ok,
cuda_ga_gpu_pop_verbose_comments,build/GA-GPU-POP-VerboseComments,GA-GPU-POP-VerboseComments,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,204.077,NA,NA,18 13 11 12 15 0 2 1 16 3 17 7 14 6 5 19 4 10 8 9 18,ok,
